sliceName,ringId,name,icon,state,url
Networking & Security,adopt,AWS SSM,,,https://docs.aws.amazon.com/systems-manager/latest/userguide/what-is-systems-manager.html
Networking & Security,adopt,Linkerd,,,
Networking & Security,assess,Falco,,,https://github.com/falcosecurity/charts
Networking & Security,assess,Trivy,,,https://aquasecurity.github.io/trivy/v0.28.1/docs/kubernetes/cli/scanning/
Networking & Security,assess,SPIRE / SPIFFE,,,https://spiffe.io/docs/latest/spire-helm-charts-hardened-about/installation/
Networking & Security,assess,Kyverno,,,https://kyverno.github.io/kyverno/
Networking & Security,assess,Github Advanced Security,,,

Datastores,assess,RDS Postgres,\ue76e,,https://aws.amazon.com/rds/postgresql/
Datastores,assess,AuroraV2,\ue76e,,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-serverless-v2.html
Datastores,adopt,AWS EBS,,,https://aws.amazon.com/ebs/
Datastores,adopt,AWS EFS,,,https://aws.amazon.com/efs/
Datastores,assess,AWS S3,,,

Infrastructure,trial,Github Enterprise Cloud,\uea84,,https://docs.github.com/en/enterprise-cloud@latest
Infrastructure,adopt,Github Actions,,,https://docs.github.com/en/actions
Infrastructure,adopt,ArgoCD,,,https://github.com/argoproj/argo-helm/tree/main/charts/argo-cd 
Infrastructure,assess,Backstage,,,https://github.com/backstage/charts
Infrastructure,adopt,Microsoft Entra IdP,\uf0805,,https://www.microsoft.com/en-us/security/business/microsoft-entra
Infrastructure,adopt,Karpenter,,,https://karpenter.sh/v0.37/getting-started/getting-started-with-karpenter/
Infrastructure,adopt,Kubernetes,\uf10fe,,https://github.com/test-jppolitikenshus/internal-developer-platform/blob/main/architecture-decision-records/006-container-orkestrering.md
Infrastructure,adopt,AWS ECR,,
Infrastructure,adopt,AWS Route53,,,
Infrastructure,assess,AWS incident manager,,,
Infrastructure,trial,AWS Backup Vault,,,
Infrastructure,adopt,Terraform,\uf1062,,https://opentofu.org
Infrastructure,adopt,Crossplane,,,https://docs.crossplane.io/latest/software/install/
Infrastructure,adopt,GitOps,,,https://akkireddy.medium.com/rethinking-gitops-moving-beyond-branch-based-deployment-4605f078ef0e

Observability,adopt,Grafana,,up,https://github.com/grafana/helm-charts 
Observability,adopt,OpenTelemetry,,up,https://github.com/open-telemetry/opentelemetry-helm-charts
Observability,adopt,Prometheus,,up,https://prometheus.io/
Observability,adopt,Loki,,up,https://grafana.com/oss/loki/
Observability,assess,Tempo,,up,https://grafana.com/oss/tempo/
Observability,assess,Mimir,,up,https://grafana.com/oss/mimir/
Observability,assess,Pagerduty,,,






